ts_code,trade_date,open,high,low,close,vol,amount
600519.SH,20260226,1486.6,1489.49,1464.67,1466.21,32958.01,4855471.43
600519.SH,20260227,1466.99,1476.21,1455.02,1455.02,32160.16,4697692.477
600519.SH,20260302,1450.0,1457.0,1436.66,1440.11,35453.86,5115063.511
600519.SH,20260303,1440.1,1452.87,1422.13,1426.19,45890.86,6565381.648
600519.SH,20260304,1415.0,1423.0,1392.09,1401.18,48014.43,6743267.103
600519.SH,20260305,1406.0,1412.96,1395.0,1399.04,30505.24,4276226.062
600519.SH,20260306,1395.0,1407.5,1388.0,1402.0,29154.15,4072328.833
600519.SH,20260309,1390.0,1404.9,1383.2,1397.0,37441.62,5220095.639
600519.SH,20260310,1404.9,1409.49,1398.0,1401.88,24625.92,3457808.916
600519.SH,20260311,1402.99,1405.99,1398.02,1400.0,24456.73,3425363.892
600519.SH,20260312,1395.0,1403.95,1391.01,1392.0,27586.46,3850521.717
600519.SH,20260313,1392.48,1417.62,1392.0,1413.64,33607.83,4738808.558
600519.SH,20260316,1420.0,1466.0,1420.0,1460.18,60086.35,8711525.836
600519.SH,20260317,1468.0,1498.07,1461.19,1485.0,49453.61,7347310.632
600519.SH,20260318,1489.0,1496.5,1463.15,1468.8,35551.0,5239992.522
600519.SH,20260319,1472.96,1473.0,1446.0,1452.87,30318.59,4404953.481
600519.SH,20260320,1452.96,1462.5,1439.0,1445.0,26132.34,3782818.26
600519.SH,20260323,1433.33,1435.0,1400.03,1408.07,47255.89,6669708.665
600519.SH,20260324,1416.0,1417.59,1400.18,1407.33,28561.79,4017694.387
600519.SH,20260325,1410.11,1417.87,1401.01,1410.27,26093.46,3677905.549
600519.SH,20260326,1409.0,1413.9,1400.3,1401.18,23092.89,3243387.502
600519.SH,20260327,1400.0,1426.0,1396.66,1416.02,30087.11,4257499.781
600519.SH,20260330,1407.0,1431.0,1402.52,1420.0,28684.59,4060684.934
600519.SH,20260331,1468.0,1479.93,1448.41,1450.0,61690.66,9015486.797
600519.SH,20260401,1464.49,1469.99,1452.88,1459.44,29125.14,4256185.472
600519.SH,20260402,1459.44,1464.88,1452.1,1459.88,21064.37,3071809.846
600519.SH,20260403,1459.54,1469.96,1455.0,1460.0,20193.73,2953993.081
600519.SH,20260407,1460.05,1470.0,1435.05,1440.02,24152.18,3507471.653
600519.SH,20260408,1460.0,1469.08,1452.13,1465.02,33836.1,4947937.007
600519.SH,20260409,1465.02,1465.02,1447.5,1460.49,20704.76,3012278.579
600519.SH,20260410,1459.14,1459.71,1441.1,1453.96,28865.56,4187181.529
600519.SH,20260413,1444.0,1446.5,1433.0,1443.31,25213.64,3629675.49
600519.SH,20260414,1442.6,1448.6,1435.0,1446.9,24232.61,3492544.23
600519.SH,20260415,1444.98,1470.79,1442.0,1467.5,34553.48,5049317.187
600519.SH,20260416,1467.45,1477.41,1460.0,1462.84,24512.84,3597294.838
600519.SH,20260417,1400.0,1421.0,1399.87,1407.24,96824.99,13631929.446
600519.SH,20260420,1403.0,1413.94,1400.0,1410.89,36451.39,5127146.041
600519.SH,20260421,1411.0,1419.9,1410.0,1412.01,21754.27,3074595.192
600519.SH,20260422,1415.0,1419.0,1404.98,1409.5,26915.93,3793827.534
600519.SH,20260423,1408.0,1419.7,1405.1,1419.0,37701.09,5332831.151
600519.SH,20260424,1413.1,1458.88,1413.1,1458.49,55455.31,8003410.999
600519.SH,20260427,1420.0,1420.0,1402.2,1403.2,72797.74,10239763.452
600519.SH,20260428,1402.0,1409.39,1400.11,1405.0,34004.42,4772513.712
600519.SH,20260429,1405.0,1409.75,1400.28,1401.17,34813.13,4881691.348
600519.SH,20260430,1400.0,1401.17,1380.0,1384.79,52752.67,7316111.748
600519.SH,20260506,1365.1,1379.0,1360.05,1375.0,47806.04,6550750.94
600519.SH,20260507,1375.0,1388.0,1370.01,1371.05,40461.47,5573286.315
600519.SH,20260508,1371.66,1382.77,1370.0,1372.99,33368.53,4582855.939
600519.SH,20260511,1372.89,1372.89,1361.0,1361.33,57135.1,7790721.392
600519.SH,20260512,1362.0,1363.58,1350.5,1354.55,50837.43,6886304.982
600519.SH,20260513,1354.5,1358.6,1338.0,1344.09,56967.87,7653257.144
600519.SH,20260514,1338.0,1369.06,1335.18,1342.17,55244.34,7428592.859
600519.SH,20260515,1335.15,1339.28,1327.11,1332.95,58183.65,7749366.54
600519.SH,20260518,1336.0,1342.68,1319.61,1323.0,49660.97,6594983.723
600519.SH,20260519,1321.9,1329.99,1318.0,1324.3,43254.64,5719170.335
600519.SH,20260520,1321.0,1332.99,1314.0,1315.0,47487.33,6271273.748
600519.SH,20260521,1312.98,1323.52,1311.0,1311.0,38868.38,5112740.391
600519.SH,20260522,1310.95,1311.91,1290.12,1290.2,49157.14,6372389.482
